ident,name,type,latitude,longitude,country code,airport
HVTG,HIGH VOLTAGE,VFR,-17.0141667,145.7633333,AU,
HIM,HILTON MINE,VFR,-20.5666667,139.4833333,AU,
HNCH,HINCHINBROOK ISLAND,VFR,-18.3666667,146.25,AU,
HDWL,HINZE DAM WALL,VFR,-28.05,153.2866667,AU,
HCTY,HOBART CBD,VFR,-42.8833333,147.3333333,AU,
HBKT,HOLBROOK TOWNSHIP,VFR,-35.7305556,147.325,AU,
HOLM,HOLMES REEF,VFR,-16.5,148.0,AU,
HBU,HOMEBUSH,VFR,-21.2805556,149.05,AU,
HDP,HOOD PT,VFR,-34.3833333,119.5666667,AU,
HPI,HOPE INLET,VFR,-12.3277778,131.0166667,AU,
HVR,HOPE VALLEY RESV,VFR,-34.85,138.6833333,AU,
HORD,HORDERN HILLS,VFR,-20.65,130.3166667,AU,
HZWF,HORIZONTAL WATERFALLS,VFR,-16.3833333,123.9666667,AU,
HBVT,HORNIBROOK VIADUCT,VFR,-27.2738889,153.0725,AU,
HSY,HORNSBY,VFR,-33.6916667,151.1066667,AU,
HST,HOSKINSTOWN,VFR,-35.4222222,149.45,AU,
HWG,HOWLONG,VFR,-35.9763889,146.625,AU,
HGR,HUGH RIVER,VFR,-24.35,133.4333333,AU,
HWW,HUME WEIR WALL,VFR,-36.1111111,147.025,AU,
HYH,HUMMOCKY HILLS,VFR,-41.7333333,147.25,AU,
HRD,HUNGERFORD,VFR,-29.0,144.4,AU,
IND,INDEE HS,VFR,-20.7861111,118.5916667,AU,
IDNA,INDIANA,VFR,-23.3333333,135.4333333,AU,
IDK,INDULKANA TOWNSHIP,VFR,-26.9658333,133.325,AU,
INGL,INGLEBURN,VFR,-33.9716667,150.8583333,AU,
IPHL,IPPIA HILL,VFR,-25.1166667,133.05,AU,
ISB,ISRAELITE BAY,VFR,-33.6166667,123.8833333,AU,
JAC,JACKO'S JUNCTION,VFR,-12.2633333,131.0366667,AU,
JNR,JACKSON RIVER,VFR,-11.5833333,142.0,AU,
JSL,JACOB'S SUGARLOAF,VFR,-41.9416667,147.3,AU,
